Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,class
2,1,1,2,53,8,3,0,0,0,0,-1,9,3
1,1,3,2,60,9,3,1,9,0,0,-1,0,1
1,1,3,1,48,8,3,1,1,0,0,-1,0,1
2,6,2,1,32,6,3,0,0,1,0,-1,9,1
4,3,1,2,64,9,3,0,0,0,0,-1,1,1
2,2,2,2,14,3,3,0,0,1,0,-1,9,1
1,1,3,1,2,1,2,5,1,0,0,-1,0,1
2,2,1,1,33,6,2,0,0,0,0,-1,9,2
2,1,1,2,64,9,3,0,0,0,0,-1,9,1
2,1,1,1,47,8,3,0,0,0,0,-1,1,-1
1,1,1,2,38,7,3,0,0,0,0,-1,9,2
2,2,1,1,36,7,3,0,0,0,0,-1,9,-1
1,1,1,1,33,6,2,0,0,0,0,-1,5,2
1,1,1,2,66,10,2,0,0,0,0,-1,9,3
1,1,1,2,18,4,3,0,0,0,0,-1,9,3
2,2,3,1,48,8,1,8,9,0,0,-1,0,1
1,1,1,1,23,5,3,0,0,0,0,-1,9,-1
1,1,1,1,21,5,3,0,0,0,0,-1,9,3
1,1,1,1,26,6,3,0,0,0,0,-1,9,1
2,2,1,1,18,4,3,0,0,0,0,-1,9,1
2,3,2,1,67,10,3,0,0,2,0,-1,9,3
1,3,2,1,18,4,3,0,0,1,0,-1,9,3
1,1,1,2,27,6,3,0,0,0,0,-1,9,1
2,1,1,1,6,2,2,0,0,0,0,-1,1,3
2,1,1,1,22,5,3,0,0,0,0,-1,3,1
1,1,1,1,34,6,3,0,0,0,0,-1,90,1
1,2,2,1,24,5,3,0,0,1,0,-1,9,1
2,1,1,1,57,9,3,0,0,0,0,-1,9,1
1,1,1,1,33,6,3,0,0,0,0,-1,20,1
2,1,1,2,60,9,3,0,0,0,0,-1,9,1
1,1,1,2,23,5,3,0,0,0,0,-1,9,1
2,2,2,2,43,7,3,0,0,1,0,-1,9,-1
1,2,2,1,42,7,3,0,0,1,0,-1,9,1
1,2,2,1,45,7,3,0,0,0,4,-1,11,-1
